Departure,Arrival,Departure Date,Route_ID
A Coruna-Turistico,Cerceda-Meirama,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Santiago de Compostela,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Santiago-Turistico,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Padron-Barbanza,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Vilagarcia de Arousa,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Pontevedra,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Pontevedra-Turistico,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Arcade,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Redondela Av,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Vigo Urzaiz,0921312025-05-11,3141208223VRX
A Coruna-Turistico,Uxes,1256112025-05-11,3141231400VRR
A Corunya,Santiago de Compostela,0062512025-05-11,3141271801GL023
A Corunya,Ourense,0062512025-05-11,3141271801GL023
A Corunya,Monforte de Lemos,0062512025-05-11,3141271801GL023
A Corunya,San Clodio-Quiroga,0062512025-05-11,3141271801GL023
A Corunya,A Rua-Petin,0062512025-05-11,3141271801GL023
A Corunya,O Barco de Valdeorras,0062512025-05-11,3141271801GL023
A Corunya,Ponferrada,0062512025-05-11,3141271801GL023
A Corunya,Bembibre,0062512025-05-11,3141271801GL023
A Corunya,Astorga,0062512025-05-11,3141271801GL023
A Corunya,Leon,0062512025-05-11,3141271801GL023
A Corunya,Palencia,0062512025-05-11,3141271801GL023
A Corunya,Burgos-Rosa Manzano,0062512025-05-11,3141271801GL023
A Corunya,Miranda de Ebro,0062512025-05-11,3141271801GL023
A Corunya,Vitoria/gasteiz,0062512025-05-11,3141271801GL023
A Corunya,Pamplona/irunya,0062512025-05-11,3141271801GL023
A Corunya,Tafalla,0062512025-05-11,3141271801GL023
A Corunya,Castejon de Ebro,0062512025-05-11,3141271801GL023
A Corunya,Tudela de Navarra,0062512025-05-11,3141271801GL023
A Corunya,Zaragoza-Delicias,0062512025-05-11,3141271801GL023
A Corunya,Lleida,0062512025-05-11,3141271801GL023
A Corunya,Camp Tarragona,0062512025-05-11,3141271801GL023
A Corunya,Barcelona-Sants,0062512025-05-11,3141271801GL023
A Corunya,A GUDIÑA-PORTA DE GALICIA,0406412025-05-11,2101017000GL023
A Corunya,Sanabria Alta Velocidad,0406412025-05-11,2101017000GL023
A Corunya,Zamora,0406412025-05-11,2101017000GL023
A Corunya,Medina del Campo Alta Velocidad,0406412025-05-11,2101017000GL023
A Corunya,Segovia Guiomar,0406412025-05-11,2101017000GL023
A Corunya,Madrid-Chamartin,0406412025-05-11,2101017000GL023
A Corunya,Betanzos-Infesta,0417512025-05-11,1700021010GL023
A Corunya,Betanzos-Cidade,0417512025-05-11,1700021010GL023
A Corunya,Pontedeume,0417512025-05-11,1700021010GL023
A Corunya,Ferrol,0417512025-05-11,1700021010GL023
A Corunya,Padron-Barbanza,0907312025-05-11,3141208223VRX
A Corunya,Vilagarcia de Arousa,0907312025-05-11,3141208223VRX
A Corunya,Pontevedra,0907312025-05-11,3141208223VRX
A Corunya,Arcade,0907312025-05-11,3141208223VRX
A Corunya,Redondela Av,0907312025-05-11,3141208223VRX
A Corunya,Vigo Urzaiz,0907312025-05-11,3141208223VRX
A Corunya,Santiago-Turistico,0908112025-05-11,3141222100AV008
A Corunya,A Coruna-Turistico,0921312025-05-11,3141208223VRX
A Corunya,Cerceda-Meirama,0921312025-05-11,3141208223VRX
A Corunya,Pontevedra-Turistico,0921312025-05-11,3141208223VRX
A Corunya,Padron,1241112025-05-11,3141222308VRR
A Corunya,Pontecesures,1241112025-05-11,3141222308VRR
A Corunya,Catoira,1241112025-05-11,3141222308VRR
A Corunya,Redondela-Picota,1241112025-05-11,3141222308VRR
A Corunya,Redondela,1241112025-05-11,3141222308VRR
A Corunya,Vigo Guixar,1241112025-05-11,3141222308VRR
A Corunya,Uxes,1242112025-05-11,3141222308VRR
A Corunya,Ordes,1242112025-05-11,3141222308VRR
A Corunya,Osebe,1244112025-05-11,3141222308VRR
A Corunya,Portela,1244112025-05-11,3141222308VRR
A Corunya,Pontevedra-Universidad,1245312025-05-11,3141222308VRR
A Corunya,Elvinya-Universidade,1264212025-05-11,3141220300VRM
A Corunya,O Burgo Santiago,1264212025-05-11,3141220300VRM
A Corunya,Cambre,1264212025-05-11,3141220300VRM
A Corunya,Cecebre,1264212025-05-11,3141220300VRM
A Corunya,Oza Dos Rios,1264212025-05-11,3141220300VRM
A Corunya,Cesuras,1264212025-05-11,3141220300VRM
A Corunya,Pinyoi,1264212025-05-11,3141220300VRM
A Corunya,Curtis,1264212025-05-11,3141220300VRM
A Corunya,Teixeiro,1264212025-05-11,3141220300VRM
A Corunya,Guitiriz,1264212025-05-11,3141220300VRM
A Corunya,Parga,1264212025-05-11,3141220300VRM
A Corunya,Baamonde,1264212025-05-11,3141220300VRM
A Corunya,Rabade,1264212025-05-11,3141220300VRM
A Corunya,Lugo,1264212025-05-11,3141220300VRM
A Corunya,Pedrelo-Celtigos,1264212025-05-11,3141220300VRM
A Corunya,Sarria,1264212025-05-11,3141220300VRM
A Corunya,Minyo,1268012025-05-11,3141221010VRM
A Corunya,Perbes,1268012025-05-11,3141221010VRM
A Corunya,Cabanas-Areal,1268012025-05-11,3141221010VRM
A Corunya,Perlio,1268012025-05-11,3141221010VRM
A Corunya,Barallobre,1268412025-05-11,3141221010VRM
A Corunya,Neda,1268412025-05-11,3141221010VRM
