SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/14/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","2E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/18/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","2E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/22/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","2E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/24/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","5E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/26/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","5E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/27/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","6.7E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/28/2025","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Intra Continent Data Transfer Out","1E-06","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/26/2025","e3a600a6-5a85-4679-9721-1c0d192ed142","Storage","Tables","All","Delete Operations","0.0001","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/26/2025","e776ccb8-0827-4253-9f8b-23470e8ddbd6","Storage","Queues v2","EU West","LRS Class 1 Operations","0.0004","0.000002"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/18/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","7.1E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/21/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2.5E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/22/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","6E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/23/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/24/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","0.000519","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/26/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","0.004452","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/27/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","0.018904","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","5/28/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","7.6E-05","0.000000"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/18/2025","6a99015c-d33f-4f46-ae59-2e4d14091aa8","Storage","Files","All","Protocol Operations","0.0055","0.000008"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/22/2025","6a99015c-d33f-4f46-ae59-2e4d14091aa8","Storage","Files","All","Protocol Operations","0.0068","0.000010"
"Patrocinio de Microsoft Azure","01e23971-61c4-4cb3-8d6e-9e6e9dc50790","4/24/2025","6a99015c-d33f-4f46-ae59-2e4d14091aa8","Storage","Files","All","Protocol Operations","0.0132","0.000020"
